,index,description_spec,description_piping,weight_spec,weight_piping,bolt_length_spec,bolt_length_piping,sch_piping,rating_piping
840,"CS2SA1 GAT 12""  F8",GATE VALVE,"GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, HO",0.0,298.0,-,-,-,150
841,"CS2SA1 WNK 12""  -",WELDING NECK FLANGE,"WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 30",0.0,37.42,-,-,30,150
842,"CS2SA1 WNK 12""  BTY",WELDING NECK FLANGE,"WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 30",0.0,37.42,-,-,30,150
843,"CS2SA1 WNK 12""  F8",WELDING NECK FLANGE,"WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 30",0.0,37.42,-,-,30,150
844,"CS2SA1 BOLT 7/8"" x135mm (12"", # 150) -",STUD BOLT,"STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.617,-,135.0,-,-
845,"CS2SA1 BOLT 7/8"" x0mm (12"", # 150) BTY",STUD BOLT,"STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.0,-,0.0,-,-
846,"CS2SA1 BOLT 7/8"" x150mm (12"", # 150) F8",STUD BOLT,"STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.656,-,150.0,-,-
847,"CS2SA1 GAS 12""  -",SPIRAL WOUND GASKET,"SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.905,-,-,-,150
848,"CS2SA1 GAS 12""  BTY",SPIRAL WOUND GASKET,"SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.905,-,-,-,150
849,"CS2SA1 GAS 12""  F8",SPIRAL WOUND GASKET,"SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.905,-,-,-,150
